hgnc_symbol	start_position	end_position	chromosome_name
CAPS2	CAPS2	75669759	75784708	12
CAPSL	CAPSL	35904397	35938881	5
CAPZA1	CAPZA1	113161795	113214241	1
CAPZA2	CAPZA2	116451124	116562103	7
CAPZA3	CAPZA3	18891045	18892121	12
CAPZB	CAPZB	19665267	19812066	1
CARD10	CARD10	37886400	37915549	22
CARD11	CARD11	2945775	3083579	7
CARD14	CARD14	78143791	78183130	17
CARD16	CARD16	104912053	104972158	11
CARD17	CARD17	104963196	104972158	11
CARD6	CARD6	40841286	40860275	5
CARD8	CARD8	48684027	48759203	19
CARD9	CARD9	139256355	139268133	9
CARF	CARF	203776937	203851786	2
CARHSP1	CARHSP1	8946799	8962866	16
CARM1	CARM1	10982189	11033453	19
CARNS1	CARNS1	67182439	67193078	11
CARS	CARS	3022152	3078843	11
CARS2	CARS2	111293759	111365950	13
CARTPT	CARTPT	71014990	71016875	5
CASC1	CASC1	25261354	25348096	12
CASC10	CASC10	21781587	21786191	10
CASC11	CASC11	128698588	128746213	8
CASC15	CASC15	21665003	22214734	6
CASC16	CASC16	52586002	52686017	16
CASC17	CASC17	69093916	69198318	17
CASC18	CASC18	106097981	106137840	12
CASC20	CASC20	6427370	6509106	20
CASC3	CASC3	38296571	38328436	17
CASC4	CASC4	44580927	44707956	15
CASC6	CASC6	92339633	92400146	6
CASC9	CASC9	76135639	76236976	8
CASD1	CASD1	94138531	94186331	7
CASK	CASK	41374187	41782716	X
CASKIN1	CASKIN1	2227184	2246526	16
CASKIN2	CASKIN2	73496342	73511664	17
CASP1	CASP1	104896170	104972158	11
CASP10	CASP10	202047604	202094129	2
CASP12	CASP12	104756445	104769397	11
CASP14	CASP14	15160195	15169104	19
CASP2	CASP2	142985308	143004789	7
CASP3	CASP3	185548850	185570663	4
CASP4	CASP4	104813593	104840163	11
CASP5	CASP5	104864962	104893895	11
CASP6	CASP6	110609785	110624739	4
CASP7	CASP7	115438942	115490662	10
CASP8	CASP8	202098166	202152434	2
CASP8AP2	CASP8AP2	90539613	90584155	6
CASP9	CASP9	15817327	15853029	1
CASQ1	CASQ1	160160285	160171676	1
CASQ2	CASQ2	116242628	116311402	1
CASR	CASR	121902530	122005342	3
CASS4	CASS4	54987168	55034396	20
CAST	CAST	95860971	96115299	5
CASZ1	CASZ1	10696661	10856707	1
CAT	CAT	34460472	34493609	11
CATSPER1	CATSPER1	65784223	65793988	11
CATSPER2	CATSPER2	43920701	43960316	15
CATSPER3	CATSPER3	134303596	134347392	5
CATSPER4	CATSPER4	26517052	26529459	1
CATSPERB	CATSPERB	92047040	92247051	14
CATSPERD	CATSPERD	5720688	5778745	19
CATSPERG	CATSPERG	38826415	38861589	19
CAV1	CAV1	116164839	116201233	7
CAV2	CAV2	115927434	116148595	7
CAV3	CAV3	8775486	8883492	3
CBFA2T2	CBFA2T2	32077881	32237842	20
CBFA2T3	CBFA2T3	88941266	89043612	16
CBFB	CBFB	67063019	67134961	16
CBL	CBL	119076752	119178859	11
CBLB	CBLB	105374305	105588396	3
CBLC	CBLC	45281126	45303891	19
CBLL1	CBLL1	107384142	107402112	7
CBLN1	CBLN1	49311828	49315742	16
CBLN2	CBLN2	70203915	70305756	18
CBLN3	CBLN3	24895738	24900160	14
CBLN4	CBLN4	54572496	54580528	20
CBR1	CBR1	37442239	37445464	21
CBR3	CBR3	37507210	37518864	21
CBR4	CBR4	169784921	169931426	4
CBS	CBS	44473301	44497053	21
CBWD1	CBWD1	121041	188979	9
CBWD2	CBWD2	114195268	114253766	2
CBWD5	CBWD5	70432004	70497240	9
CBX1	CBX1	46147414	46178883	17
CBX3	CBX3	26240782	26252976	7
CBX4	CBX4	77806955	77813228	17
CBX5	CBX5	54624724	54673886	12
CBX6	CBX6	39257455	39268319	22
CBX7	CBX7	39516172	39548679	22
CBY1	CBY1	39052641	39069859	22
CBY3	CBY3	179105584	179107975	5
CC2D1A	CC2D1A	14017014	14041692	19
CC2D1B	CC2D1B	52811395	52831865	1
CC2D2A	CC2D2A	15471489	15603180	4
CC2D2B	CC2D2B	97733786	97792441	10
CCAR1	CCAR1	70480769	70552134	10
CCAR2	CCAR2	22462145	22479027	8
CCAT1	CCAT1	128220111	128231333	8
CCBE1	CCBE1	57098172	57364612	18
CCDC102A	CCDC102A	57546090	57570511	16
CCDC102B	CCDC102B	66382446	66722426	18
CCDC103	CCDC103	42976510	42982758	17
CCDC105	CCDC105	15121556	15134081	19
CCDC106	CCDC106	56152428	56164527	19
CCDC107	CCDC107	35658301	35661508	9
CCDC110	CCDC110	186366336	186392913	4
CCDC112	CCDC112	114602885	114632528	5
CCDC113	CCDC113	58265061	58317740	16
CCDC114	CCDC114	48799714	48825151	19
CCDC115	CCDC115	131095814	131099922	2
CCDC116	CCDC116	21987005	21991616	22
CCDC117	CCDC117	29168662	29185283	22
CCDC12	CCDC12	46963216	47023500	3
CCDC120	CCDC120	48911101	48927509	X
CCDC121	CCDC121	27848506	27851879	2
CCDC122	CCDC122	44398045	44453827	13
CCDC124	CCDC124	18043825	18054800	19
CCDC125	CCDC125	68576002	68628636	5
CCDC126	CCDC126	23636998	23684327	7
CCDC127	CCDC127	196986	218330	5
CCDC13	CCDC13	42734155	42814745	3
CCDC130	CCDC130	13842574	13874110	19
CCDC134	CCDC134	42196683	42222303	22
CCDC136	CCDC136	128430811	128462186	7
CCDC137	CCDC137	79633394	79640934	17
CCDC138	CCDC138	109403213	109501933	2
CCDC14	CCDC14	123616152	123680564	3
CCDC140	CCDC140	223162866	223169936	2
CCDC141	CCDC141	179694484	179914813	2
CCDC142	CCDC142	74699113	74710535	2
CCDC144A	CCDC144A	16592851	16707767	17
CCDC144NL	CCDC144NL	20739760	20799453	17
CCDC146	CCDC146	76751751	76958850	7
CCDC148	CCDC148	159027593	159313265	2
CCDC149	CCDC149	24807739	24981826	4
CCDC15	CCDC15	124824017	124911385	11
CCDC150	CCDC150	197504278	197628214	2
CCDC151	CCDC151	11531272	11546603	19
CCDC152	CCDC152	42756903	42802462	5
CCDC153	CCDC153	119060347	119067479	11
CCDC154	CCDC154	1484384	1494557	16
CCDC155	CCDC155	49891475	49921251	19
CCDC157	CCDC157	30752624	30774647	22
CCDC158	CCDC158	77234154	77343021	4
CCDC159	CCDC159	11455360	11465620	19
CCDC160	CCDC160	133371077	133380237	X
CCDC166	CCDC166	144788864	144790279	8
CCDC167	CCDC167	37450696	37467698	6
CCDC168	CCDC168	103381801	103389159	13
CCDC169	CCDC169	36801182	36871977	13
CCDC17	CCDC17	46085716	46089729	1
CCDC170	CCDC170	151815165	151942328	6
CCDC171	CCDC171	15552895	16061661	9
CCDC172	CCDC172	118083940	118139541	10
CCDC173	CCDC173	170501935	170550943	2
CCDC174	CCDC174	14693271	14714166	3
CCDC175	CCDC175	59971257	60043549	14
CCDC177	CCDC177	70037483	70038032	14
CCDC178	CCDC178	30517366	31021065	18
CCDC179	CCDC179	22868477	22881972	11
CCDC18	CCDC18	93645476	93744287	1
CCDC180	CCDC180	100000765	100140806	9
CCDC181	CCDC181	169364108	169429907	1
CCDC182	CCDC182	55821842	55822673	17
CCDC183	CCDC183	139690802	139702193	9
CCDC22	CCDC22	49091927	49106987	X
CCDC24	CCDC24	44457031	44462200	1
CCDC25	CCDC25	27590835	27630170	8
CCDC26	CCDC26	130363937	130692485	8
CCDC27	CCDC27	3668962	3688209	1
CCDC28A	CCDC28A	139094657	139114456	6
CCDC28B	CCDC28B	32665987	32670988	1
CCDC3	CCDC3	12938627	13141652	10
CCDC30	CCDC30	42929001	43120335	1
CCDC33	CCDC33	74509613	74628813	15
CCDC34	CCDC34	27352374	27385415	11
CCDC36	CCDC36	49235861	49295537	3
CCDC38	CCDC38	96260826	96336752	12
CCDC40	CCDC40	78010435	78074412	17
CCDC42	CCDC42	8633252	8648537	17
CCDC43	CCDC43	42750437	42767147	17
CCDC47	CCDC47	61822610	61853711	17
CCDC50	CCDC50	191046866	191116459	3
CCDC51	CCDC51	48473574	48481866	3
CCDC54	CCDC54	107096188	107097481	3
CCDC57	CCDC57	80059336	80170706	17
CCDC58	CCDC58	122078438	122102078	3
CCDC59	CCDC59	82617460	82752584	12
CCDC6	CCDC6	61548521	61666414	10
CCDC60	CCDC60	119772517	119978852	12
CCDC61	CCDC61	46498339	46524576	19
CCDC62	CCDC62	123258874	123312075	12
CCDC63	CCDC63	111284573	111345339	12
CCDC65	CCDC65	49297893	49325623	12
CCDC66	CCDC66	56591189	56655846	3
CCDC68	CCDC68	52568740	52626739	18
CCDC69	CCDC69	150560613	150603706	5
CCDC7	CCDC7	32735068	32863492	10
CCDC70	CCDC70	52436117	52440366	13
CCDC71	CCDC71	49199968	49203754	3
CCDC71L	CCDC71L	106297211	106301442	7
CCDC73	CCDC73	32623792	32816204	11
CCDC74A	CCDC74A	132285248	132291239	2
CCDC74B	CCDC74B	130896860	130902707	2
CCDC77	CCDC77	498439	551811	12
CCDC78	CCDC78	772582	776954	16
CCDC8	CCDC8	46913629	46916841	19
CCDC80	CCDC80	112323407	112368377	3
CCDC81	CCDC81	86085778	86134151	11
CCDC82	CCDC82	96085933	96123087	11
CCDC83	CCDC83	85566144	85631064	11
CCDC85A	CCDC85A	56411258	56613308	2
CCDC85B	CCDC85B	65657875	65659105	11
CCDC85C	CCDC85C	99977603	100070363	14
CCDC86	CCDC86	60609544	60618554	11
CCDC87	CCDC87	66357640	66360554	11
CCDC88A	CCDC88A	55514978	55647057	2
CCDC88B	CCDC88B	64107695	64125006	11
CCDC88C	CCDC88C	91737667	91884188	14
CCDC89	CCDC89	85394893	85397320	11
CCDC9	CCDC9	47759237	47775210	19
CCDC90B	CCDC90B	82970139	82997450	11
CCDC91	CCDC91	28286182	28732883	12
CCDC92	CCDC92	124403207	124457378	12
CCDC93	CCDC93	118673054	118771709	2
CCDC96	CCDC96	7042579	7044728	4
CCDC97	CCDC97	41816094	41830788	19
CCER1	CCER1	91299399	91348953	12
CCER2	CCER2	39399620	39402798	19
CCIN	CCIN	36169389	36171329	9
CCK	CCK	42299317	42307699	3
CCKAR	CCKAR	26483022	26492084	4
CCKBR	CCKBR	6280966	6293357	11
CCL1	CCL1	32687347	32690250	17
CCL11	CCL11	32612687	32615353	17
CCL13	CCL13	32683471	32685629	17
CCL14	CCL14	34310327	34329100	17
CCL15	CCL15	34323476	34329084	17
CCL16	CCL16	34303529	34308532	17
CCL17	CCL17	57438679	57449974	16
CCL18	CCL18	34391640	34399392	17
CCL19	CCL19	34689564	34691274	9
CCL2	CCL2	32582304	32584222	17
CCL20	CCL20	228678558	228682272	2
CCL21	CCL21	34709002	34710121	9
CCL22	CCL22	57392684	57400102	16
CCL23	CCL23	34340096	34345005	17
CCL24	CCL24	75440983	75452674	7
CCL25	CCL25	8117651	8127534	19
CCL26	CCL26	75398851	75419214	7
CCL27	CCL27	34661877	34664045	9
CCL28	CCL28	43376747	43412493	5
CCL3	CCL3	34415602	34417515	17
CCL3L1	CCL3L1	34623842	34625731	17
CCL4	CCL4	34430983	34433014	17
CCL4L2	CCL4L2	34639793	34641846	17
CCL5	CCL5	34198495	34207797	17
CCL7	CCL7	32597240	32599261	17
CCL8	CCL8	32646055	32648421	17
CCM2	CCM2	45039074	45116068	7
CCM2L	CCM2L	30598245	30619984	20
CCNA1	CCNA1	37005967	37017019	13
CCNA2	CCNA2	122737599	122745087	4
CCNB1	CCNB1	68462837	68474072	5
CCNB1IP1	CCNB1IP1	20779527	20801471	14
CCNB2	CCNB2	59397277	59417244	15
CCNB3	CCNB3	49967364	50094909	X
CCNC	CCNC	99990256	100016849	6
CCND1	CCND1	69455855	69469242	11
CCND2	CCND2	4382938	4414516	12
CCND3	CCND3	41902671	42018095	6
CCNDBP1	CCNDBP1	43477316	43487396	15
CCNE1	CCNE1	30302805	30315215	19
CCNE2	CCNE2	95891998	95908906	8
CCNF	CCNF	2479395	2508855	16
CCNG1	CCNG1	162864575	162873157	5
CCNG2	CCNG2	78078304	78354542	4
CCNH	CCNH	86687311	86708836	5
CCNI	CCNI	77968311	77997158	4
CCNI2	CCNI2	132083137	132089856	5
CCNJ	CCNJ	97803151	97820627	10
CCNJL	CCNJL	159678659	159772403	5
CCNK	CCNK	99947506	100001381	14
CCNL1	CCNL1	156864297	156878549	3
CCNL2	CCNL2	1321091	1334708	1
CCNO	CCNO	54526980	54529508	5
CCNT1	CCNT1	49082247	49110681	12
CCNT2	CCNT2	135675805	135716912	2
CCNY	CCNY	35535953	35860852	10
CCNYL1	CCNYL1	208576264	208626563	2
CCP110	CCP110	19535133	19564730	16
CCPG1	CCPG1	55632230	55700708	15
CCR1	CCR1	46243200	46249887	3
CCR10	CCR10	40830907	40835935	17
CCR2	CCR2	46395225	46402419	3
CCR3	CCR3	46205096	46308197	3
CCR4	CCR4	32993066	32997841	3
CCR5	CCR5	46411633	46417697	3
CCR6	CCR6	167525295	167553184	6
CCR7	CCR7	38710021	38721724	17
CCR8	CCR8	39371197	39375171	3
CCR9	CCR9	45927996	45944667	3
CCRL2	CCRL2	46448654	46454488	3
CCS	CCS	66360292	66373490	11
CCSAP	CCSAP	229456758	229479041	1
CCSER1	CCSER1	91048686	92523064	4
CCSER2	CCSER2	86088342	86278273	10
CCT2	CCT2	69979114	69995350	12
CCT3	CCT3	156278759	156337664	1
CCT4	CCT4	62095224	62115939	2
CCT5	CCT5	10250033	10266524	5
CCT6A	CCT6A	56119323	56131682	7
CCT6B	CCT6B	33254878	33308097	17
CCT7	CCT7	73460548	73480149	2
CCT8	CCT8	30428126	30446118	21
CCT8L2	CCT8L2	17071667	17073700	22
CCZ1	CCZ1	5938356	5965605	7
CCZ1B	CCZ1B	6833765	6866401	7
CD101	CD101	117544382	117579167	1
CD109	CD109	74405508	74538040	6
CD14	CD14	140011313	140013286	5
CD151	CD151	832843	839831	11
CD160	CD160	145695798	145715614	1
CD163	CD163	7623409	7656489	12
CD163L1	CD163L1	7499281	7632493	12
CD164	CD164	109687717	109703762	6
CD164L2	CD164L2	27705666	27709870	1
CD177	CD177	43857811	43867480	19
CD180	CD180	66478103	66492627	5
CD19	CD19	28943260	28950667	16
CD1A	CD1A	158223927	158228059	1
CD1B	CD1B	158297741	158301321	1
CD1C	CD1C	158259576	158263420	1
CD1D	CD1D	158149737	158154686	1
CD1E	CD1E	158323254	158327343	1
CD2	CD2	117297007	117311850	1
CD200	CD200	112051194	112081659	3
CD200R1	CD200R1	112640056	112693969	3
CD200R1L	CD200R1L	112534556	112565703	3
CD207	CD207	71057347	71062952	2
CD209	CD209	7804879	7812464	19
CD22	CD22	35810164	35838258	19
CD226	CD226	67498394	67629039	18
CD244	CD244	160799950	160832692	1
CD247	CD247	167399877	167487847	1
CD248	CD248	66081958	66084515	11
CD27	CD27	6554033	6560884	12
CD274	CD274	5450503	5470566	9
CD276	CD276	73976307	74006859	15
CD28	CD28	204571198	204603635	2
CD2AP	CD2AP	47445525	47594999	6
CD2BP2	CD2BP2	30362087	30366682	16
CD300A	CD300A	72462555	72480933	17
CD300C	CD300C	72537247	72542282	17
CD300E	CD300E	72606026	72619897	17
CD300LB	CD300LB	72517313	72527613	17
CD300LD	CD300LD	72575504	72588422	17
CD300LF	CD300LF	72690452	72709117	17
CD300LG	CD300LG	41924516	41940997	17
CD302	CD302	160625364	160654753	2
CD320	CD320	8367011	8373240	19
CD33	CD33	51728320	51747115	19
CD34	CD34	208057594	208084747	1
CD36	CD36	79998891	80308593	7
CD37	CD37	49838428	49846592	19
CD38	CD38	15779898	15854853	4
CD3D	CD3D	118209669	118213459	11
CD3E	CD3E	118175260	118186890	11
CD3EAP	CD3EAP	45909467	45914024	19
CD3G	CD3G	118215059	118225876	11
CD4	CD4	6896024	6929974	12
CD40	CD40	44746911	44758502	20
CD40LG	CD40LG	135730352	135742549	X
CD44	CD44	35160417	35253949	11
CD46	CD46	207925402	207968858	1
CD47	CD47	107762145	107809872	3
CD48	CD48	160648536	160681641	1
CD5	CD5	60869867	60895324	11
CD52	CD52	26644448	26647014	1
CD53	CD53	111415775	111442550	1
CD55	CD55	207494853	207534311	1
CD58	CD58	117057157	117113661	1
CD59	CD59	33719807	33757991	11
CD5L	CD5L	157800704	157868046	1
CD6	CD6	60739115	60787849	11
CD63	CD63	56119107	56123491	12
CD68	CD68	7482785	7485429	17
CD69	CD69	9905082	9913497	12
CD7	CD7	80272744	80275478	17
CD70	CD70	6583194	6604114	19
CD72	CD72	35609530	35646807	9
CD74	CD74	149781200	149792492	5
CD79A	CD79A	42381190	42385439	19
CD79B	CD79B	62006100	62009714	17
CD80	CD80	119243140	119278449	3
CD81	CD81	2397407	2418649	11
CD82	CD82	44585977	44641913	11
CD83	CD83	14117872	14137149	6
CD84	CD84	160510885	160549306	1
CD86	CD86	121774213	121839983	3
CD8A	CD8A	87011729	87035519	2
CD8B	CD8B	87042462	87089047	2
CD9	CD9	6308881	6347425	12
CD93	CD93	23059986	23066977	20
CD96	CD96	111011566	111384597	3
CD99	CD99	2609220	2659350	X
CD99L2	CD99L2	149934810	150067289	X
CDA	CDA	20915441	20945401	1
CDADC1	CDADC1	49822047	49867618	13
CDAN1	CDAN1	43015757	43029324	15
CDC123	CDC123	12237964	12292588	10
CDC14A	CDC14A	100810584	100985833	1
CDC14B	CDC14B	99252523	99382112	9
CDC16	CDC16	115000362	115038198	13
CDC20	CDC20	43824626	43828874	1
CDC20B	CDC20B	54408799	54469005	5
CDC23	CDC23	137523339	137549032	5
CDC25A	CDC25A	48198636	48229892	3
CDC25B	CDC25B	3767578	3786762	20
CDC25C	CDC25C	137620954	137674044	5
CDC26	CDC26	116018115	116037869	9
CDC27	CDC27	45195069	45266788	17
CDC34	CDC34	531714	542097	19
CDC37	CDC37	10501810	10530797	19
CDC37L1	CDC37L1	4679559	4708398	9
CDC40	CDC40	110501344	110575478	6
CDC42	CDC42	22379120	22419437	1
CDC42BPA	CDC42BPA	227177566	227506175	1
CDC42BPB	CDC42BPB	103398716	103523799	14
CDC42BPG	CDC42BPG	64590859	64612041	11
CDC42EP1	CDC42EP1	37956454	37965412	22
CDC42EP2	CDC42EP2	65082289	65089900	11
CDC42EP3	CDC42EP3	37869032	37965611	2
CDC42EP4	CDC42EP4	71279763	71308314	17
CDC42EP5	CDC42EP5	54976210	54984411	19
CDC42SE1	CDC42SE1	151023447	151042801	1
CDC42SE2	CDC42SE2	130581186	130734140	5
CDC45	CDC45	19466982	19508135	22
CDC5L	CDC5L	44355262	44418163	6
CDC6	CDC6	38443885	38459171	17
CDC7	CDC7	91966408	91991321	1
CDC73	CDC73	193091147	193223031	1
CDCA2	CDCA2	25316513	25365436	8
CDCA3	CDCA3	6953957	6961230	12
CDCA4	CDCA4	105475910	105487485	14
CDCA5	CDCA5	64833772	64851636	11
CDCA7	CDCA7	174219548	174233725	2
CDCA7L	CDCA7L	21940518	21985702	7
CDCA8	CDCA8	38158090	38175391	1
CDCP1	CDCP1	45123770	45187914	3
CDH1	CDH1	68771128	68869451	16
CDH10	CDH10	24487209	24645087	5
CDH11	CDH11	64977656	65160015	16
CDH12	CDH12	21750782	22853731	5
CDH13	CDH13	82660408	83830204	16
CDH15	CDH15	89238175	89261900	16
CDH16	CDH16	66942025	66952887	16
CDH17	CDH17	95139399	95229531	8
CDH18	CDH18	19473060	20575982	5
CDH19	CDH19	64168320	64271375	18
CDH2	CDH2	25530930	25757410	18
CDH20	CDH20	59000815	59223006	18
CDH22	CDH22	44802372	44937137	20
CDH23	CDH23	73156691	73575702	10
CDH24	CDH24	23516271	23526747	14
CDH26	CDH26	58533471	58609066	20
CDH3	CDH3	68670092	68756519	16
CDH4	CDH4	59827482	60515673	20
CDH5	CDH5	66400533	66438686	16
CDH6	CDH6	31193857	31329253	5
CDH7	CDH7	63417488	63548638	18
CDH8	CDH8	61681146	62070939	16
CDH9	CDH9	26880709	27121257	5
CDHR1	CDHR1	85954410	85979377	10
CDHR2	CDHR2	175969512	176022975	5
CDHR3	CDHR3	105517242	105676877	7
CDHR4	CDHR4	49828165	49837268	3
CDHR5	CDHR5	616565	626078	11
CDIP1	CDIP1	4560676	4588829	16
CDIPT	CDIPT	29869678	29875057	16
CDK1	CDK1	62538089	62554610	10
CDK10	CDK10	89747145	89762772	16
CDK11A	CDK11A	1634169	1655766	1
CDK11B	CDK11B	1570603	1590473	1
CDK12	CDK12	37617764	37721160	17
CDK13	CDK13	39989636	40136733	7
CDK14	CDK14	90095738	90839905	7
CDK15	CDK15	202655184	202760273	2
CDK16	CDK16	47077259	47089396	X
CDK17	CDK17	96672039	96794338	12
CDK18	CDK18	205473723	205501921	1
CDK19	CDK19	110931181	111137161	6
CDK2	CDK2	56360553	56366568	12
CDK20	CDK20	90581356	90589668	9
CDK2AP1	CDK2AP1	123745528	123756881	12
CDK2AP2	CDK2AP2	67273968	67276120	11
CDK3	CDK3	73996987	74002080	17
CDK4	CDK4	58141510	58149796	12
CDK5	CDK5	150750899	150755617	7
CDK5R1	CDK5R1	30813637	30818274	17
CDK5R2	CDK5R2	219824377	219826876	2
CDK5RAP1	CDK5RAP1	31946645	31989367	20
CDK5RAP2	CDK5RAP2	123151147	123342448	9
CDK5RAP3	CDK5RAP3	46045176	46059140	17
CDK6	CDK6	92234235	92465908	7
CDK7	CDK7	68530668	68573250	5
CDK8	CDK8	26828276	26979375	13
CDK9	CDK9	130547958	130553066	9
CDKAL1	CDKAL1	20534688	21232635	6
CDKL1	CDKL1	50796310	50883179	14
CDKL2	CDKL2	76503215	76555900	4
CDKL3	CDKL3	133541305	133706738	5
CDKL4	CDKL4	39402787	39456729	2
CDKL5	CDKL5	18443703	18671749	X
CDKN1A	CDKN1A	36644305	36655116	6
CDKN1B	CDKN1B	12867992	12875305	12
CDKN1C	CDKN1C	2904443	2907111	11
CDKN2A	CDKN2A	21967751	21995300	9
CDKN2AIP	CDKN2AIP	184365744	184369351	4
CDKN2AIPNL	CDKN2AIPNL	133737778	133747589	5
CDKN2B	CDKN2B	22002902	22009362	9
CDKN2C	CDKN2C	51426417	51440305	1
CDKN2D	CDKN2D	10677138	10679735	19
CDKN3	CDKN3	54863567	54886936	14
CDNF	CDNF	14861249	14880574	10
CDO1	CDO1	115140430	115152651	5
CDON	CDON	125825691	125933230	11
CDPF1	CDPF1	46639908	46646576	22
CDR1	CDR1	139865425	139866723	X
CDR2	CDR2	22357257	22448486	16
CDR2L	CDR2L	72983727	73001895	17
CDRT1	CDRT1	15468798	15522826	17
CDRT15	CDRT15	14138990	14140179	17
CDRT15L2	CDRT15L2	20483037	20484224	17
CDRT4	CDRT4	15339332	15406922	17
CDS1	CDS1	85504132	85572491	4
CDS2	CDS2	5107432	5178533	20
CDT1	CDT1	88869621	88875666	16
CDV3	CDV3	133292574	133309105	3
CDX1	CDX1	149546358	149564120	5
CDX2	CDX2	28536274	28545276	13
CDX4	CDX4	72667090	72675081	X
CDY1	CDY1	27768264	27771049	Y
CDY2A	CDY2A	20137667	20140477	Y
CDY2B	CDY2B	19989290	19992100	Y
CDYL	CDYL	4706393	4955785	6
CDYL2	CDYL2	80631803	80838226	16
CEACAM1	CEACAM1	43011456	43065386	19
CEACAM16	CEACAM16	45202421	45213986	19
CEACAM18	CEACAM18	51979838	51994206	19
CEACAM19	CEACAM19	45165545	45187631	19
CEACAM20	CEACAM20	45005729	45033811	19
CEACAM21	CEACAM21	42055886	42093197	19
CEACAM3	CEACAM3	42300369	42315591	19
CEACAM4	CEACAM4	42125344	42133442	19
CEACAM5	CEACAM5	42212504	42233718	19
CEACAM6	CEACAM6	42254885	42276113	19
CEACAM7	CEACAM7	42177235	42210895	19
CEACAM8	CEACAM8	43084393	43099207	19
CEBPA	CEBPA	33790840	33793470	19
CEBPB	CEBPB	48807376	48809212	20
CEBPD	CEBPD	48649471	48651648	8
CEBPE	CEBPE	23586513	23588825	14
CEBPG	CEBPG	33864236	33873592	19
CEBPZ	CEBPZ	37428755	37458856	2
CECR2	CECR2	17840837	18037850	22
CECR3	CECR3	17737749	17747623	22
CECR7	CECR7	17517460	17541715	22
CEL	CEL	135937365	135947248	9
CELA1	CELA1	51722227	51740463	12
CELA2A	CELA2A	15783223	15798586	1
CELA2B	CELA2B	15792404	15817895	1
CELA3A	CELA3A	22328149	22339032	1
CELA3B	CELA3B	22303514	22325135	1
CELF1	CELF1	47487496	47587121	11
CELF2	CELF2	11047259	11378674	10
CELF3	CELF3	151674880	151689290	1
CELF4	CELF4	34823010	35146000	18
CELF5	CELF5	3224701	3297074	19
CELSR1	CELSR1	46756731	46933067	22
CELSR2	CELSR2	109792641	109818372	1
CELSR3	CELSR3	48673902	48700348	3
CEMP1	CEMP1	2577081	2581420	16
CEND1	CEND1	787104	790123	11
CENPA	CENPA	26987157	27023935	2
CENPB	CENPB	3764498	3767337	20
CENPBD1	CENPBD1	90036206	90038942	16
CENPC	CENPC	68337521	68411324	4
CENPE	CENPE	104026963	104119566	4
CENPF	CENPF	214776538	214837931	1
CENPH	CENPH	68485375	68506184	5
CENPI	CENPI	100353178	100418670	X
CENPJ	CENPJ	25457171	25497018	13
CENPK	CENPK	64813593	64858998	5
CENPL	CENPL	173768688	173793858	1
CENPM	CENPM	42334725	42343168	22
CENPN	CENPN	81040103	81066719	16
CENPO	CENPO	25016005	25045245	2
CENPP	CENPP	95087766	95382815	9
CENPQ	CENPQ	49431091	49460820	6
CENPT	CENPT	67862060	67881714	16
CENPU	CENPU	185615772	185655287	4
CENPV	CENPV	16245848	16256970	17
CENPW	CENPW	126661320	126670021	6
CEP104	CEP104	3728645	3773778	1
CEP112	CEP112	63631656	64188202	17
CEP120	CEP120	122680579	122759286	5
CEP128	CEP128	80943330	81425861	14
CEP135	CEP135	56815037	56899529	4
CEP152	CEP152	49005125	49103343	15
CEP164	CEP164	117185273	117283984	11
CEP170	CEP170	243287730	243418650	1
CEP170B	CEP170B	105331617	105363107	14
CEP19	CEP19	196433148	196439164	3
CEP192	CEP192	12991361	13125051	18
CEP250	CEP250	34042985	34099804	20
CEP290	CEP290	88442793	88535993	12
CEP350	CEP350	179923873	180084015	1
CEP44	CEP44	175204828	175254531	4
CEP55	CEP55	95256389	95288849	10
CEP57	CEP57	95523129	95565857	11
CEP57L1	CEP57L1	109416313	109485135	6
CEP63	CEP63	134204585	134293859	3
CEP68	CEP68	65283500	65314138	2
CEP70	CEP70	138213186	138313380	3
CEP72	CEP72	612387	667283	5
CEP76	CEP76	12661832	12702776	18
CEP78	CEP78	80850978	80894606	9
CEP85	CEP85	26560691	26605299	1
CEP85L	CEP85L	118781935	119031238	6
CEP89	CEP89	33369902	33462897	19
CEP97	CEP97	101442769	101489406	3
CEPT1	CEPT1	111682249	111727724	1
CER1	CER1	14719722	14722715	9
CERCAM	CERCAM	131174030	131199626	9
CERK	CERK	47080308	47134158	22
CERKL	CERKL	182401403	182545392	2
CERS2	CERS2	150933059	150947479	1
CERS3	CERS3	100940600	101085200	15
CERS4	CERS4	8271620	8327305	19
CERS5	CERS5	50523575	50561288	12
CERS6	CERS6	169312372	169631644	2
CES2	CES2	66968347	66978999	16
CES3	CES3	66995140	67009051	16
CES4A	CES4A	67022492	67043661	16
CETN1	CETN1	580367	581524	18
CETN2	CETN2	151995517	151999321	X
CETN3	CETN3	89688078	89705603	5
CETP	CETP	56995762	57017757	16
CFC1	CFC1	131350339	131357123	2
CFC1B	CFC1B	131278770	131285579	2
CFD	CFD	859453	863453	19
CFDP1	CFDP1	75327596	75467383	16
CFH	CFH	196621008	196716634	1
CFHR1	CFHR1	196788887	196801319	1
CFHR3	CFHR3	196743925	196763203	1
CFHR4	CFHR4	196819371	196888102	1
CFHR5	CFHR5	196946667	196978804	1
CFI	CFI	110661852	110723335	4
CFL1	CFL1	65590493	65629497	11
CFL2	CFL2	35179593	35184029	14
